Student_ID,Courses
1,"5, 4, 1, 2, 6"
2,"2, 6, 1, 3, 7"
3,"3, 1, 5, 2, 4"
4,"6, 3, 4, 1, 5"
5,"4, 3, 1, 5, 6"
6,"7, 5, 1, 6, 2"
7,"3, 4, 5, 1, 7"
8,"1, 2, 3, 5, 7"
9,"6, 2, 7, 5, 4"
10,"6, 1, 5, 3, 4"
11,"3, 5, 7, 1, 6"
12,"4, 3, 6, 2, 5"
13,"2, 6, 3, 4, 5"
14,"6, 4, 5, 3, 1"
15,"4, 1, 3, 2, 7"
16,"2, 6, 5, 7, 4"
17,"3, 1, 7, 4, 2"
18,"5, 1, 7, 2, 6"
19,"2, 5, 7, 4, 1"
20,"6, 4, 5, 1, 2"
21,"6, 1, 2, 4, 7"
22,"7, 2, 5, 6, 4"
23,"7, 4, 2, 1, 5"
24,"2, 1, 3, 7, 6"
25,"4, 1, 6, 3, 5"
26,"3, 1, 2, 5, 6"
27,"2, 4, 7, 3, 5"
28,"3, 6, 5, 1, 2"
29,"1, 5, 7, 3, 4"
30,"7, 1, 4, 2, 6"
31,"1, 3, 6, 4, 7"
32,"3, 6, 5, 2, 1"
33,"4, 6, 2, 1, 3"
34,"1, 3, 5, 2, 7"
35,"4, 3, 7, 2, 6"
36,"2, 4, 5, 6, 1"
37,"3, 7, 2, 5, 4"
38,"1, 4, 7, 2, 5"
39,"3, 6, 5, 7, 4"
40,"7, 2, 1, 4, 5"
41,"5, 7, 1, 6, 4"
42,"4, 5, 1, 6, 2"
43,"2, 1, 3, 6, 4"
44,"3, 4, 5, 2, 1"
45,"1, 5, 3, 7, 4"
46,"3, 7, 4, 6, 2"
47,"4, 1, 7, 5, 2"
48,"7, 4, 3, 1, 5"
49,"2, 7, 5, 4, 3"
50,"5, 6, 3, 4, 2"
51,"4, 6, 2, 7, 5"
52,"7, 6, 5, 4, 2"
53,"5, 2, 7, 1, 6"
54,"2, 4, 7, 1, 6"
55,"1, 3, 4, 7, 6"
56,"1, 3, 6, 7, 4"
57,"3, 5, 4, 2, 7"
58,"7, 6, 2, 3, 1"
59,"5, 7, 3, 1, 4"
60,"1, 5, 3, 6, 4"
61,"7, 1, 2, 4, 6"
62,"7, 3, 1, 6, 2"
63,"1, 2, 3, 4, 7"
64,"5, 6, 1, 2, 7"
65,"5, 1, 3, 4, 7"
66,"5, 3, 4, 6, 7"
67,"7, 3, 1, 6, 4"
68,"4, 3, 2, 7, 6"
69,"2, 1, 4, 5, 6"
70,"4, 6, 1, 2, 3"
71,"2, 5, 4, 6, 1"
72,"6, 1, 7, 4, 2"
73,"2, 3, 1, 4, 5"
74,"5, 4, 7, 2, 6"
75,"2, 6, 4, 7, 5"
76,"6, 4, 3, 2, 7"
77,"2, 5, 4, 6, 3"
78,"1, 5, 2, 6, 4"
79,"3, 1, 4, 2, 7"
80,"4, 7, 5, 1, 2"
81,"6, 7, 4, 5, 3"
82,"6, 1, 7, 2, 5"
83,"6, 5, 3, 2, 4"
84,"5, 2, 4, 6, 3"
85,"7, 2, 4, 3, 6"
86,"2, 3, 1, 6, 5"
87,"5, 7, 6, 4, 2"
88,"1, 7, 6, 5, 4"
89,"7, 6, 3, 2, 5"
90,"2, 1, 6, 7, 4"
91,"3, 5, 7, 2, 1"
92,"2, 4, 7, 5, 6"
93,"1, 2, 6, 7, 5"
94,"2, 3, 4, 6, 7"
95,"6, 3, 7, 1, 5"
96,"7, 6, 5, 2, 1"
97,"7, 6, 5, 1, 2"
98,"1, 4, 6, 7, 2"
99,"6, 4, 2, 7, 1"
100,"6, 7, 4, 1, 2"
